"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10698","TC-04: Verify global header search handles valid and no-result public queries @regression","chromium","2026-05-01","passed","2026-05-01","","","",""
"","2009","TC-03: Verify Issues page default list, custom queries, and filter controls @regression","chromium","2026-05-01","passed","2026-05-01","","","",""
"","1904","TC-03: Verify Issues page default list, custom queries, and filter controls @regression","mobile-chrome","2026-05-01","passed","2026-05-01","","","",""
"","9817","TC-05: Verify Register form required fields and password validation without creating an account @regression","firefox","2026-05-01","passed","2026-05-01","","","",""
"","13376","TC-02: Verify Redmine project navigation tabs open the expected public pages @smoke","firefox","2026-05-01","passed","2026-05-01","","","",""
"","3015","TC-01: Verify Redmine home page overview, release, resource, and feature sections @smoke","firefox","2026-05-01","passed","2026-05-01","","","",""
"","10492","TC-04: Verify global header search handles valid and no-result public queries @regression","mobile-chrome","2026-05-01","passed","2026-05-01","","","",""
"","14164","TC-05: Verify Register form required fields and password validation without creating an account @regression","webkit","2026-05-01","passed","2026-05-01","","","",""
"","2550","TC-03: Verify Issues page default list, custom queries, and filter controls @regression","firefox","2026-05-01","passed","2026-05-01","","","",""
"","13218","TC-02: Verify Redmine project navigation tabs open the expected public pages @smoke","webkit","2026-05-01","passed","2026-05-01","","","",""
"","11879","TC-04: Verify global header search handles valid and no-result public queries @regression","webkit","2026-05-01","passed","2026-05-01","","","",""
"","11731","TC-02: Verify Redmine project navigation tabs open the expected public pages @smoke","chromium","2026-05-01","passed","2026-05-01","","","",""
"","16268","TC-02: Verify Redmine project navigation tabs open the expected public pages @smoke","mobile-chrome","2026-05-01","passed","2026-05-01","","","",""
"","4075","TC-01: Verify Redmine home page overview, release, resource, and feature sections @smoke","chromium","2026-05-01","passed","2026-05-01","","","",""
"","5225","TC-01: Verify Redmine home page overview, release, resource, and feature sections @smoke","webkit","2026-05-01","passed","2026-05-01","","","",""
"","1758","TC-01: Verify Redmine home page overview, release, resource, and feature sections @smoke","mobile-chrome","2026-05-01","passed","2026-05-01","","","",""
"","11979","TC-04: Verify global header search handles valid and no-result public queries @regression","firefox","2026-05-01","passed","2026-05-01","","","",""
"","8802","TC-05: Verify Register form required fields and password validation without creating an account @regression","chromium","2026-05-01","passed","2026-05-01","","","",""
"","3062","TC-03: Verify Issues page default list, custom queries, and filter controls @regression","webkit","2026-05-01","passed","2026-05-01","","","",""
"","8941","TC-05: Verify Register form required fields and password validation without creating an account @regression","mobile-chrome","2026-05-01","passed","2026-05-01","","","",""
